Driver,LapNumber,LapTime_Seconds,Compound,TyreLife,Stint,TrackTemp,AirTemp,Race
PER,24.0,93.44,HARD,6.0,2.0,31.6,26.0,2023_Saudi_Arabia
TSU,34.0,70.702,HARD,11.0,4.0,32.0,22.5,2023_Austria
ZHO,4.0,76.946,HARD,3.0,2.0,39.5,25.3,2023_Monaco
STR,40.0,97.916,HARD,10.0,3.0,30.6,27.1,2023_Bahrain
ZHO,47.0,99.553,SOFT,18.0,3.0,30.6,27.1,2023_Bahrain
TSU,13.0,72.167,MEDIUM,13.0,1.0,46.5,29.5,2024_Austria
SAR,32.0,112.267,SOFT,3.0,2.0,29.8,21.5,2023_Britain
SAR,8.0,82.16,MEDIUM,8.0,1.0,31.75,22.2,2023_Spain
OCO,40.0,79.592,HARD,3.0,3.0,41.150000000000006,24.1,2024_Spain
ALB,16.0,115.068,MEDIUM,9.0,2.0,28.2,17.9,2023_Belgium
RUS,14.0,97.571,HARD,3.0,2.0,23.5,18.2,2024_Bahrain
GAS,17.0,85.703,HARD,17.0,1.0,45.1,28.9,2024_Hungary
PIA,55.0,101.45,HARD,31.0,3.0,29.9,18.7,2024_China
SAI,20.0,84.508,HARD,5.0,2.0,48.650000000000006,29.0,2023_Hungary
NOR,26.0,93.792,MEDIUM,26.0,1.0,31.5,25.5,2024_Saudi_Arabia
SAI,69.0,83.076,MEDIUM,22.0,3.0,45.1,28.9,2024_Hungary
TSU,24.0,117.947,MEDIUM,15.0,2.0,28.2,17.9,2023_Belgium
SAI,46.0,97.844,HARD,15.0,3.0,30.6,27.1,2023_Bahrain
LEC,19.0,97.858,HARD,6.0,2.0,30.6,27.1,2023_Bahrain
STR,41.0,69.752,HARD,5.0,4.0,32.0,22.5,2023_Austria
RUS,40.0,83.9,MEDIUM,12.0,2.0,48.650000000000006,29.0,2023_Hungary
HAM,33.0,70.211,HARD,12.0,2.0,46.5,29.5,2024_Austria
GAS,12.0,84.625,MEDIUM,12.0,1.0,38.55,20.7,2024_Australia
HAM,45.0,78.833,HARD,14.0,2.0,39.5,25.3,2023_Monaco
STR,15.0,83.45,HARD,8.0,2.0,38.55,20.7,2024_Australia
ALO,27.0,77.228,HARD,28.0,1.0,39.5,25.3,2023_Monaco
HUL,53.0,83.559,HARD,24.0,3.0,45.1,28.9,2024_Hungary
TSU,11.0,95.738,HARD,4.0,2.0,31.5,25.5,2024_Saudi_Arabia
ALB,19.0,99.272,SOFT,8.0,2.0,30.6,27.1,2023_Bahrain
ALB,59.0,80.097,SOFT,16.0,3.0,41.150000000000006,24.1,2024_Spain
SAR,53.0,69.972,HARD,10.0,4.0,32.0,22.5,2023_Austria
ALB,26.0,98.1,HARD,11.0,2.0,23.5,18.2,2024_Bahrain
ALO,39.0,85.19,HARD,23.0,2.0,48.650000000000006,29.0,2023_Hungary
TSU,65.0,80.515,SOFT,21.0,4.0,41.150000000000006,24.1,2024_Spain
PIA,19.0,71.93,HARD,5.0,3.0,32.0,22.5,2023_Austria
ALO,42.0,93.156,HARD,25.0,2.0,31.6,26.0,2023_Saudi_Arabia
ZHO,54.0,84.092,HARD,18.0,3.0,45.1,28.9,2024_Hungary
MAG,26.0,94.119,MEDIUM,26.0,1.0,29.8,21.5,2023_Britain
SAR,4.0,86.514,MEDIUM,4.0,1.0,48.650000000000006,29.0,2023_Hungary
STR,30.0,79.86,HARD,31.0,1.0,39.5,25.3,2023_Monaco
RUS,30.0,78.811,MEDIUM,29.0,2.0,47.25,21.6,2024_Monaco
ALB,27.0,71.872,HARD,15.0,2.0,46.5,29.5,2024_Austria
VER,14.0,93.046,MEDIUM,14.0,1.0,29.8,21.5,2023_Britain
LEC,38.0,77.483,HARD,38.0,1.0,39.5,25.3,2023_Monaco
ALB,37.0,101.261,HARD,14.0,3.0,29.9,18.7,2024_China
BOT,11.0,81.56,HARD,6.0,2.0,31.75,22.2,2023_Spain
ALO,77.0,84.701,INTERMEDIATE,22.0,3.0,39.5,25.3,2023_Monaco
MAG,10.0,100.177,MEDIUM,9.0,2.0,39.0,22.1,2024_Japan
