race,driver,tire_age,tire_compound,lap_number,race_progress,position,track_temp,air_temp,degradation_rate,lap_time,should_pit
2024_Austria,RUS,21,MEDIUM,21,0.29577464788732394,8,46.5,29.5,0.012000000000000455,71.641,1
2024_Austria,RUS,22,MEDIUM,22,0.30985915492957744,13,46.5,29.5,0.05180000000000007,75.077,1
2024_Austria,RUS,1,MEDIUM,23,0.323943661971831,11,46.5,29.5,0.723599999999999,86.769,0
2024_Austria,RUS,2,MEDIUM,24,0.3380281690140845,1,46.5,29.5,3.0400000000000005,69.563,0
2024_Austria,RUS,4,MEDIUM,26,0.36619718309859156,1,46.5,29.5,-0.3936000000000007,70.037,0
2024_Austria,RUS,5,MEDIUM,27,0.38028169014084506,3,46.5,29.5,-0.32079999999999986,69.864,0
2024_Austria,RUS,8,MEDIUM,30,0.4225352112676056,3,46.5,29.5,-1.0425999999999989,70.18,0
2024_Austria,RUS,9,MEDIUM,31,0.43661971830985913,2,46.5,29.5,-3.3177999999999996,69.936,0
2024_Austria,RUS,10,MEDIUM,32,0.4507042253521127,4,46.5,29.5,0.07460000000000093,70.219,0
2024_Austria,RUS,11,MEDIUM,33,0.4647887323943662,4,46.5,29.5,0.03639999999999759,70.093,0
2024_Austria,RUS,12,MEDIUM,34,0.4788732394366197,5,46.5,29.5,0.04579999999999984,70.26,0
2024_Austria,RUS,13,MEDIUM,35,0.49295774647887325,5,46.5,29.5,0.01599999999999966,70.524,0
2024_Austria,RUS,14,MEDIUM,36,0.5070422535211268,5,46.5,29.5,0.11759999999999877,70.598,0
2024_Austria,RUS,15,MEDIUM,37,0.5211267605633803,5,46.5,29.5,0.07580000000000098,70.506,0
2024_Austria,RUS,16,MEDIUM,38,0.5352112676056338,5,46.5,29.5,0.08259999999999934,70.64,0
2024_Austria,RUS,17,MEDIUM,39,0.5492957746478874,7,46.5,29.5,0.0759999999999991,70.724,0
2024_Austria,RUS,18,MEDIUM,40,0.5633802816901409,7,46.5,29.5,0.04000000000000057,70.761,0
2024_Austria,RUS,20,MEDIUM,42,0.5915492957746479,7,46.5,29.5,0.03259999999999934,70.797,1
2024_Austria,RUS,21,MEDIUM,43,0.6056338028169014,5,46.5,29.5,0.05819999999999936,70.784,1
2024_Austria,RUS,22,MEDIUM,44,0.6197183098591549,13,46.5,29.5,0.028800000000001092,71.385,1
2024_Austria,RUS,23,MEDIUM,45,0.6338028169014085,15,46.5,29.5,0.13220000000000026,71.402,1
2024_Austria,RUS,24,MEDIUM,46,0.647887323943662,16,46.5,29.5,0.12820000000000106,75.687,1
2024_Austria,RUS,1,HARD,47,0.6619718309859155,14,46.5,29.5,0.9780000000000001,86.144,0
2024_Austria,RUS,3,HARD,49,0.6901408450704225,1,46.5,29.5,3.072,69.288,0
2024_Austria,RUS,4,HARD,50,0.704225352112676,1,46.5,29.5,-0.41940000000000166,69.342,0
2024_Austria,RUS,5,HARD,51,0.7183098591549296,2,46.5,29.5,-0.4120000000000005,69.759,0
2024_Austria,RUS,6,HARD,52,0.7323943661971831,1,46.5,29.5,-1.1855999999999995,69.881,0
2024_Austria,RUS,7,HARD,53,0.7464788732394366,4,46.5,29.5,-3.252600000000001,69.872,0
2024_Austria,RUS,9,HARD,55,0.7746478873239436,5,46.5,29.5,0.11680000000000064,69.895,0
2024_Austria,RUS,10,HARD,56,0.7887323943661971,4,46.5,29.5,0.11059999999999945,69.711,0
2024_Austria,RUS,11,HARD,57,0.8028169014084507,7,46.5,29.5,-0.009600000000000363,70.064,0
2024_Austria,RUS,12,HARD,58,0.8169014084507042,6,46.5,29.5,0.03659999999999854,70.002,0
2024_Austria,RUS,13,HARD,59,0.8309859154929577,3,46.5,29.5,0.02599999999999909,69.961,0
2024_Austria,RUS,14,HARD,60,0.8450704225352113,5,46.5,29.5,0.0132000000000005,70.065,0
2024_Austria,RUS,15,HARD,61,0.8591549295774648,3,46.5,29.5,0.07079999999999984,69.611,0
2024_Austria,RUS,16,HARD,62,0.8732394366197183,5,46.5,29.5,-0.09059999999999775,70.05,0
2024_Austria,RUS,17,HARD,63,0.8873239436619719,3,46.5,29.5,0.009600000000000363,70.042,0
2024_Austria,RUS,19,HARD,65,0.9154929577464789,2,46.5,29.5,0.016200000000000613,70.278,0
2024_Austria,RUS,21,HARD,67,0.9436619718309859,1,46.5,29.5,0.042600000000001616,69.352,0
2024_Austria,NOR,7,MEDIUM,7,0.09859154929577464,2,46.5,29.5,0.10319999999999822,70.539,0
2024_Austria,NOR,8,MEDIUM,8,0.11267605633802817,1,46.5,29.5,0.002199999999999136,70.512,0
